Year   terrorist  terrorist  occupation  narcotic  violation  democracy  development

2000      0	     0          0           0          0          0          0

2001      0          0          0           0          0          0          0

2002      0          0          0           0          0          0          0

2003      0          0          0           0          0          0          0
 
2004      0          0          0           0          0          0          0
  
2005      1          0          0           0          0          1          0

2006      0          0          0           0          0          1          1

2007      3          0          0           1          0          3          0

2008      4          2          1           0          0          4          2

2009      12         1          1           0          1          9          7

2010      31         2          2           3          6          15         8
  
2011     1291        70         70          179        126        2208       218

2012     474         67         67          25         57         1115       91

2013     2160        394        394         44         32         1298       214

2014     1433        85         85          106        109        1852       155

	 
